state(s),date,time,dead,inj,yards,miles,F,counties
IA-WI,05211918,1815,8,100,400,f80,F4,CLAYTON. IA /GRANT /IOWA /RICHLAND /SAUK. WI
IA,05211918,1845,1,0,100,4,F3,LINN
IA,05211918,1915,0,0,,10,F2,CLAYTON
IA,05211918,,0,0,,,F2,BI ACK HAWK
IA,03151919,1530,0,3,50,1,F2,POLK
IA,03151919,1815,0,0,50,6,F2,CEDAR /CLINTON
IA,05031919,1630,0,0,100,12,F2,BUENA VISTA /CLAY
IA,05031919,1815,0,0,70,4.5,F2,BUENA VISTA /POCAHONTAS
IA,05031919,1850,0,0,70,6,F2,SAC /CALHOUN
IA,05061919,1600,0,0,100,9,F2,JONES
IA,06231919,1825,0,0,,5,F2,MITCHELL
IA,06231919,1945,0,1,,7,F3,CHICKASAW
IA,08041919,1630,0,0,300,8,F2,BUTLER
IA,05081920,1700,0,0,,,F2,CHICKASAW
IA,05221920,1600,0,0,30,1,F2,STORY
IA,05221920,1730,0,0,50,10,F2,HARRISON
IA,05221920,1740,0,1,,,F2,HOWARD
IA,05221920,,0,1,50,6,F2,CRAWFORD
IA,07011920,1745,0,4,500,20,F4,ADAMS
IA,03261921,1930,0,14,100,35,F2,IDA /SAC /CALHOUN /POCAHONTAS
IA,04241921,2330,0,0,,5,F2,WOODBURY
IA,04251921,1200,0,0,,,F2,MUSCATINE
IA,04251921,1400,0,15,,2,F2,DUBUQUE
IA,05261921,1445,0,0,,all,F2,CERRO GORDO /WORTH
IA,05261921,1610,1,2,400,5,F3,CERRO GORDO /WORTH
IA,04061922,2030,1,11,300,12,F3,DALLAS /POLK
IA,04061922,2100,0,0,100,2,F2,POLK
IA,04101922,1630,0,0,,15,F2,TAYLOR /ADAMS
IA,05051922,1615,0,0,,7,F2,PAGE
IA,05111922,1700,0,1,,2,F2,BREMER
IA,07161922,1630,0,0,50,10,F2,GREENE /WEBSTER
IA,07161922,1700,0,0,50,,F2,BOONE
IA,09281923,1950,6,10,100,1,F2,POTTAWATTAMIE
IA,08081924,0500,1,0,,7,F2,DALLAS /POLK
IA,08081924,0600,0,0,,,F2,JASPER
IA,10301924,1930,0,3,100,5,F2,BLACK HAWK
IA,04211925,0930,1,0,,8,F2,HOWARD
IA,06021925,1630,0,4,100,13,F2,MILLS
IA,06021925,1645,0,3,400,25,F4,MONONA /WOODBURY
IA,06021925,1810,0,5,300,12,F3,MONTGOMERY
IA,06021925,1830,0,3,,10,F2,PALO ALTO
IA,06021925,2030,3,5,250,14,F4,CASS /AUDUBON /GUTHRIE
IA,06031925,1700,0,10,,7,F4,POTTAWATTAMIE /HARRISON
IA,06031925,1710,1,20,1500,10,F4,POTTAWATTAMIE /HARRISON
IA,06031925,1730,0,0,70,10,F2,SHELBY
IA,06031925,2045,0,1,,20,F3,GREENE /WEBSTER
IA,06031925,2100,0,1,,4,F2,GREENE
IA,06111925,1615,1,18,60,15,F3,WRIGHT /FRANKLIN
IA,06111925,1800,0,3,,,F2,FRANKLIN /CERRO GORDO
IA,06111925,1830,0,8,,10,F2,BUTLER /FLOYD
IA,06111925,1830,0,0,100,s20,F2,FLOYD
IA,06111925,2100,0,0,,5,F2,WORTH
IA,06281925,0200,0,0,,6,F2,FREMONT
IA,06161926,1500,2,24,200,8,F4,PAGE
IA,06161926,1530,0,5,400,7,F3,TAYLOR /RINGGOLD
IA,06201926,1945,0,0,100,5,F2,POTTAWATTAMIE /CASS
IA,06201926,2000,0,0,100,3,F2,AUDUBON
IA,09301926,2215,0,0,,15,F2,DICKINSON
IA,05081927,2000,0,1,200,15,F2,OBRIEN
IA,05091927,1620,0,0,600,10,F2,SCOTT /CLINTON
IA,05231927,1800,0,2,200,6,F3,IOWA
